会议名称,T日,窗口,窗口开始,窗口结束,行业上涨家数,行业下跌家数,行业涨跌明细,行业涨跌幅明细
全国金融工作会议（2002）,2002-02-05,T-5,2002-01-29,2002-01-29,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
全国金融工作会议（2002）,2002-02-05,T-1,2002-02-04,2002-02-04,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
全国金融工作会议（2002）,2002-02-05,T,2002-02-05,2002-02-05,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
全国金融工作会议（2002）,2002-02-05,T+1,2002-02-06,2002-02-06,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
全国金融工作会议（2002）,2002-02-05,T+5,2002-02-06,2002-02-26,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
中国共产党第十六次全国代表大会,2002-11-08,T-5,2002-11-01,2002-11-01,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
中国共产党第十六次全国代表大会,2002-11-08,T-1,2002-11-07,2002-11-07,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
中国共产党第十六次全国代表大会,2002-11-08,T,2002-11-08,2002-11-08,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
中国共产党第十六次全国代表大会,2002-11-08,T+1,2002-11-11,2002-11-11,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
中国共产党第十六次全国代表大会,2002-11-08,T+5,2002-11-11,2002-11-15,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
十六届三中全会,2003-10-11,T-5,2003-09-29,2003-09-29,0,0,石油石化:平; 煤炭:平; 有色金属:平; 电力及公用事业:平; 钢铁:平; 基础化工:平; 建筑:平; 建材:平; 轻工制造:平; 机械:平; 电力设备及新能源:平; 国防军工:平; 汽车:平; 商贸零售:平; 消费者服务:平; 家电:平; 纺织服装:平; 医药:平; 食品饮料:平; 农林牧渔:平; 银行:平; 非银行金融:平; 房地产:平; 交通运输:平; 电子:平; 通信:平; 计算机:平; 传媒:平; 综合:平,石油石化:nan; 煤炭:nan; 有色金属:nan; 电力及公用事业:nan; 钢铁:nan; 基础化工:nan; 建筑:nan; 建材:nan; 轻工制造:nan; 机械:nan; 电力设备及新能源:nan; 国防军工:nan; 汽车:nan; 商贸零售:nan; 消费者服务:nan; 家电:nan; 纺织服装:nan; 医药:nan; 食品饮料:nan; 农林牧渔:nan; 银行:nan; 非银行金融:nan; 房地产:nan; 交通运输:nan; 电子:nan; 通信:nan; 计算机:nan; 传媒:nan; 综合:nan
