meeting_family,window,industry,届数,平均涨跌幅,最大涨跌幅,最小涨跌幅,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,权重,权重_百分比
世界互联网大会,T,国防军工,11,-0.007436,0.004022,-0.032176,2,9,0,0.181818,0.818182,0.0,-0.00204417,-0.2044
世界互联网大会,T,家电,11,0.00418,0.02066,-0.009603,8,3,0,0.727273,0.272727,0.0,0.00114909,0.1149
世界互联网大会,T,建筑,11,-0.002569,0.036306,-0.04777,3,8,0,0.272727,0.727273,0.0,-0.00070622,-0.0706
世界互联网大会,T,煤炭,11,0.00092,0.051274,-0.028895,3,8,0,0.272727,0.727273,0.0,0.00025291,0.0253
世界互联网大会,T+1,医药,11,0.00042,0.023905,-0.012345,3,8,0,0.272727,0.727273,0.0,0.00011546,0.0115
世界互联网大会,T+1,煤炭,11,0.008264,0.047284,-0.015072,8,3,0,0.727273,0.272727,0.0,0.00227179,0.2272
世界互联网大会,T+1,石油石化,11,0.005983,0.029304,-0.01116,8,3,0,0.727273,0.272727,0.0,0.00164474,0.1645
世界互联网大会,T+5,农林牧渔,11,0.018557,0.077816,-0.042427,9,2,0,0.818182,0.181818,0.0,0.00510136,0.5101
世界互联网大会,T+5,商贸零售,11,0.011658,0.03385,-0.032656,9,2,0,0.818182,0.181818,0.0,0.00320481,0.3205
世界互联网大会,T+5,基础化工,11,0.003861,0.034338,-0.04163,8,3,0,0.727273,0.272727,0.0,0.0010614,0.1061
世界互联网大会,T+5,家电,11,0.01641,0.065776,-0.031046,8,3,0,0.727273,0.272727,0.0,0.00451114,0.4511
世界互联网大会,T+5,建材,11,0.004952,0.068163,-0.040582,8,3,0,0.727273,0.272727,0.0,0.00136132,0.1361
世界互联网大会,T+5,建筑,11,0.002884,0.022386,-0.032701,8,3,0,0.727273,0.272727,0.0,0.00079282,0.0793
世界互联网大会,T+5,房地产,11,0.012529,0.070498,-0.059539,8,3,0,0.727273,0.272727,0.0,0.00344425,0.3444
世界互联网大会,T+5,汽车,11,0.005733,0.029065,-0.027544,8,3,0,0.727273,0.272727,0.0,0.00157601,0.1576
世界互联网大会,T+5,电力设备及新能源,11,0.001133,0.046474,-0.030086,3,8,0,0.272727,0.727273,0.0,0.00031146,0.0311
世界互联网大会,T+5,纺织服装,11,0.012187,0.043539,-0.027043,8,3,0,0.727273,0.272727,0.0,0.00335023,0.335
世界互联网大会,T+5,综合,11,0.016993,0.085117,-0.035167,8,3,0,0.727273,0.272727,0.0,0.00467141,0.4671
世界互联网大会,T+5,轻工制造,11,0.01075,0.056529,-0.042407,8,3,0,0.727273,0.272727,0.0,0.0029552,0.2955
世界互联网大会,T+5,非银行金融,11,0.009854,0.059291,-0.039818,8,3,0,0.727273,0.272727,0.0,0.00270889,0.2709
世界互联网大会,T-1,农林牧渔,11,0.003109,0.016976,-0.008529,8,3,0,0.727273,0.272727,0.0,0.00085467,0.0855
世界互联网大会,T-1,家电,11,-0.004517,0.016551,-0.020047,2,9,0,0.181818,0.818182,0.0,-0.00124173,-0.1242
世界互联网大会,T-1,石油石化,11,-0.000524,0.015791,-0.024668,8,3,0,0.727273,0.272727,0.0,-0.00014405,-0.0144
世界互联网大会,T-1,计算机,11,0.006228,0.024892,-0.017033,9,2,0,0.818182,0.181818,0.0,0.00171209,0.1712
世界互联网大会,T-1,银行,11,-0.006275,-9e-06,-0.016196,0,11,0,0.0,1.0,0.0,-0.00172501,-0.1725
世界互联网大会,T-1,非银行金融,11,-0.007735,0.012648,-0.024273,1,10,0,0.090909,0.909091,0.0,-0.00212637,-0.2126
世界互联网大会,T-5,房地产,11,0.006962,0.030832,-0.02454,8,3,0,0.727273,0.272727,0.0,0.00191387,0.1914
世界互联网大会,T-5,银行,11,-0.000214,0.021738,-0.009619,3,8,0,0.272727,0.727273,0.0,-5.883e-05,-0.0059
世界互联网大会,T-5,食品饮料,11,0.00913,0.036773,-0.013621,9,2,0,0.818182,0.181818,0.0,0.00250986,0.251
世界人工智能大会,T,交通运输,8,-0.007127,0.012734,-0.014263,1,7,0,0.125,0.875,0.0,-0.00195923,-0.1959
世界人工智能大会,T,医药,8,-0.003446,0.035097,-0.022308,2,6,0,0.25,0.75,0.0,-0.00094731,-0.0947
世界人工智能大会,T,建材,8,-0.005148,0.026618,-0.020834,2,6,0,0.25,0.75,0.0,-0.0014152,-0.1415
世界人工智能大会,T,建筑,8,-0.006038,0.010014,-0.018596,1,7,0,0.125,0.875,0.0,-0.00165986,-0.166
世界人工智能大会,T,有色金属,8,-0.002137,0.041642,-0.022311,2,6,0,0.25,0.75,0.0,-0.00058747,-0.0587
世界人工智能大会,T,机械,8,-0.001684,0.025695,-0.013733,2,6,0,0.25,0.75,0.0,-0.00046294,-0.0463
世界人工智能大会,T,消费者服务,8,-0.01314,0.007381,-0.0411,2,6,0,0.25,0.75,0.0,-0.00361221,-0.3612
世界人工智能大会,T,煤炭,8,-0.004641,0.031122,-0.03448,2,6,0,0.25,0.75,0.0,-0.00127582,-0.1276
世界人工智能大会,T,电力及公用事业,8,-0.002904,0.011653,-0.008042,1,7,0,0.125,0.875,0.0,-0.00079832,-0.0798
世界人工智能大会,T,纺织服装,8,-0.00614,0.025191,-0.023339,2,6,0,0.25,0.75,0.0,-0.0016879,-0.1688
世界人工智能大会,T,轻工制造,8,-0.006647,0.019236,-0.027777,2,6,0,0.25,0.75,0.0,-0.00182727,-0.1827
世界人工智能大会,T,钢铁,8,-0.007861,0.018332,-0.019725,1,7,0,0.125,0.875,0.0,-0.00216101,-0.2161
世界人工智能大会,T,银行,8,-0.008161,0.00213,-0.027461,2,6,0,0.25,0.75,0.0,-0.00224348,-0.2243
世界人工智能大会,T,非银行金融,8,-0.00409,0.016552,-0.015305,2,6,0,0.25,0.75,0.0,-0.00112435,-0.1124
世界人工智能大会,T+1,商贸零售,8,0.006694,0.023387,-0.013088,6,2,0,0.75,0.25,0.0,0.00184019,0.184
世界人工智能大会,T+1,家电,8,-0.004046,0.010393,-0.016846,2,6,0,0.25,0.75,0.0,-0.00111225,-0.1112
世界人工智能大会,T+1,银行,8,-0.007649,0.015877,-0.035753,2,6,0,0.25,0.75,0.0,-0.00210273,-0.2103
世界人工智能大会,T+5,基础化工,8,0.01325,0.043278,-0.035187,6,2,0,0.75,0.25,0.0,0.00364245,0.3642
世界人工智能大会,T+5,家电,8,0.006878,0.037418,-0.03966,6,2,0,0.75,0.25,0.0,0.00189078,0.1891
世界人工智能大会,T+5,有色金属,8,0.016037,0.04394,-0.046535,6,2,0,0.75,0.25,0.0,0.00440861,0.4409
世界人工智能大会,T+5,机械,8,0.013617,0.048698,-0.036053,7,1,0,0.875,0.125,0.0,0.00374334,0.3743
世界人工智能大会,T+5,电力及公用事业,8,0.009605,0.037962,-0.009248,6,2,0,0.75,0.25,0.0,0.00264044,0.264
世界人工智能大会,T+5,电力设备及新能源,8,0.012807,0.053314,-0.034319,6,2,0,0.75,0.25,0.0,0.00352067,0.3521
世界人工智能大会,T+5,纺织服装,8,0.002583,0.030254,-0.037314,6,2,0,0.75,0.25,0.0,0.00071007,0.071
世界人工智能大会,T+5,钢铁,8,0.010475,0.054209,-0.044037,6,2,0,0.75,0.25,0.0,0.0028796,0.288
世界人工智能大会,T+5,银行,8,0.011771,0.037003,-0.039398,6,2,0,0.75,0.25,0.0,0.00323587,0.3236
世界人工智能大会,T+5,非银行金融,8,0.004508,0.052589,-0.059742,6,2,0,0.75,0.25,0.0,0.00123926,0.1239
世界人工智能大会,T-1,农林牧渔,8,-0.002384,0.031478,-0.022221,2,6,0,0.25,0.75,0.0,-0.00065537,-0.0655
