下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
4.0,中关村论坛,4月,T,有色金属,11,3,8,0,0.272727,0.727273,0.0,-0.008034
4.0,中关村论坛,4月,T,石油石化,11,9,2,0,0.818182,0.181818,0.0,0.002019
4.0,中关村论坛,4月,T,纺织服装,11,3,8,0,0.272727,0.727273,0.0,-0.000669
4.0,中关村论坛,4月,T+1,传媒,11,9,2,0,0.818182,0.181818,0.0,0.007589
4.0,中关村论坛,4月,T+1,医药,11,8,3,0,0.727273,0.272727,0.0,0.008244
4.0,中关村论坛,4月,T+1,家电,11,8,3,0,0.727273,0.272727,0.0,0.00696
4.0,中关村论坛,4月,T+1,有色金属,11,8,3,0,0.727273,0.272727,0.0,0.002606
4.0,中关村论坛,4月,T+1,消费者服务,11,10,1,0,0.909091,0.090909,0.0,0.010228
4.0,中关村论坛,4月,T+1,计算机,11,8,3,0,0.727273,0.272727,0.0,0.009804
4.0,中关村论坛,4月,T+1,轻工制造,11,8,3,0,0.727273,0.272727,0.0,0.003541
4.0,中关村论坛,4月,T+5,农林牧渔,11,8,3,0,0.727273,0.272727,0.0,0.026029
4.0,中关村论坛,4月,T+5,商贸零售,11,9,2,0,0.818182,0.181818,0.0,0.0191
4.0,中关村论坛,4月,T+5,电子,11,8,3,0,0.727273,0.272727,0.0,0.015687
4.0,中关村论坛,4月,T-1,家电,11,2,9,0,0.181818,0.818182,0.0,-0.001617
4.0,中关村论坛,4月,T-1,有色金属,11,3,8,0,0.272727,0.727273,0.0,-0.00107
4.0,中关村论坛,4月,T-1,银行,11,3,8,0,0.272727,0.727273,0.0,-0.002242
4.0,中关村论坛,4月,T-5,交通运输,11,3,8,0,0.272727,0.727273,0.0,-0.005228
4.0,中关村论坛,4月,T-5,医药,11,3,8,0,0.272727,0.727273,0.0,-0.002243
4.0,中关村论坛,4月,T-5,商贸零售,11,3,8,0,0.272727,0.727273,0.0,-0.002691
4.0,中关村论坛,4月,T-5,消费者服务,11,3,8,0,0.272727,0.727273,0.0,-0.006825
4.0,中关村论坛,4月,T-5,电力及公用事业,11,3,8,0,0.272727,0.727273,0.0,-0.006477
4.0,中关村论坛,4月,T-5,电子,11,3,8,0,0.272727,0.727273,0.0,-0.007099
4.0,中关村论坛,4月,T-5,综合,11,2,9,0,0.181818,0.818182,0.0,-0.006919
4.0,中关村论坛,4月,T-5,计算机,11,2,9,0,0.181818,0.818182,0.0,-0.008437
4.0,中央政治局会议,4月下旬,T,传媒,14,10,4,0,0.714286,0.285714,0.0,0.016709
4.0,中央政治局会议,4月下旬,T,医药,14,10,4,0,0.714286,0.285714,0.0,0.009203
4.0,中央政治局会议,4月下旬,T,国防军工,14,11,3,0,0.785714,0.214286,0.0,0.011189
4.0,中央政治局会议,4月下旬,T,基础化工,14,10,4,0,0.714286,0.285714,0.0,0.009198
4.0,中央政治局会议,4月下旬,T,家电,14,10,4,0,0.714286,0.285714,0.0,0.014155
4.0,中央政治局会议,4月下旬,T,有色金属,14,10,4,0,0.714286,0.285714,0.0,0.008487
4.0,中央政治局会议,4月下旬,T,汽车,14,11,3,0,0.785714,0.214286,0.0,0.008144
4.0,中央政治局会议,4月下旬,T,消费者服务,14,10,4,0,0.714286,0.285714,0.0,0.011217
4.0,中央政治局会议,4月下旬,T,电子,14,12,2,0,0.857143,0.142857,0.0,0.016354
4.0,中央政治局会议,4月下旬,T,石油石化,14,10,4,0,0.714286,0.285714,0.0,0.005527
4.0,中央政治局会议,4月下旬,T,纺织服装,14,11,3,0,0.785714,0.214286,0.0,0.01146
4.0,中央政治局会议,4月下旬,T,综合,14,10,4,0,0.714286,0.285714,0.0,0.006096
4.0,中央政治局会议,4月下旬,T,计算机,14,11,3,0,0.785714,0.214286,0.0,0.015412
4.0,中央政治局会议,4月下旬,T,轻工制造,14,10,4,0,0.714286,0.285714,0.0,0.009489
4.0,中央政治局会议,4月下旬,T,通信,14,10,4,0,0.714286,0.285714,0.0,0.013153
4.0,中央政治局会议,4月下旬,T+1,交通运输,14,10,4,0,0.714286,0.285714,0.0,0.004451
4.0,中央政治局会议,4月下旬,T+1,传媒,14,10,4,0,0.714286,0.285714,0.0,0.012303
4.0,中央政治局会议,4月下旬,T+1,医药,14,10,4,0,0.714286,0.285714,0.0,0.009407
4.0,中央政治局会议,4月下旬,T+1,商贸零售,14,10,4,0,0.714286,0.285714,0.0,0.004944
4.0,中央政治局会议,4月下旬,T+1,房地产,14,4,10,0,0.285714,0.714286,0.0,-0.000782
4.0,中央政治局会议,4月下旬,T+1,汽车,14,10,4,0,0.714286,0.285714,0.0,0.010007
4.0,中央政治局会议,4月下旬,T+1,电力及公用事业,14,10,4,0,0.714286,0.285714,0.0,0.004636
4.0,中央政治局会议,4月下旬,T+1,钢铁,14,11,3,0,0.785714,0.214286,0.0,0.004153
4.0,中央政治局会议,4月下旬,T+5,石油石化,14,4,10,0,0.285714,0.714286,0.0,-0.004637
4.0,中央政治局会议,4月下旬,T-1,交通运输,14,10,4,0,0.714286,0.285714,0.0,0.004772
4.0,中央政治局会议,4月下旬,T-1,农林牧渔,14,11,3,0,0.785714,0.214286,0.0,0.002009
4.0,中央政治局会议,4月下旬,T-1,医药,14,10,4,0,0.714286,0.285714,0.0,0.005259
4.0,中央政治局会议,4月下旬,T-1,国防军工,14,10,4,0,0.714286,0.285714,0.0,0.007982
4.0,中央政治局会议,4月下旬,T-1,家电,14,11,3,0,0.785714,0.214286,0.0,0.004904
4.0,中央政治局会议,4月下旬,T-1,房地产,14,12,2,0,0.857143,0.142857,0.0,0.011646
4.0,中央政治局会议,4月下旬,T-1,汽车,14,10,4,0,0.714286,0.285714,0.0,0.005876
4.0,中央政治局会议,4月下旬,T-1,电力及公用事业,14,12,2,0,0.857143,0.142857,0.0,0.003876
4.0,中央政治局会议,4月下旬,T-1,纺织服装,14,12,2,0,0.857143,0.142857,0.0,0.005282
4.0,中央政治局会议,4月下旬,T-1,综合,14,12,2,0,0.857143,0.142857,0.0,0.009748
4.0,中央政治局会议,4月下旬,T-1,轻工制造,14,11,3,0,0.785714,0.214286,0.0,0.004784
4.0,中央政治局会议,4月下旬,T-1,钢铁,14,10,4,0,0.714286,0.285714,0.0,0.006431
4.0,中央政治局会议,4月下旬,T-1,非银行金融,14,10,4,0,0.714286,0.285714,0.0,0.011894
4.0,中央政治局会议,4月下旬,T-5,汽车,14,4,10,0,0.285714,0.714286,0.0,-0.001312
4.0,广交会春季,4月,T,交通运输,11,3,8,0,0.272727,0.727273,0.0,-0.002836
4.0,广交会春季,4月,T,传媒,11,1,10,0,0.090909,0.909091,0.0,-0.016381
4.0,广交会春季,4月,T,农林牧渔,11,2,9,0,0.181818,0.818182,0.0,-0.009772
4.0,广交会春季,4月,T,商贸零售,11,2,9,0,0.181818,0.818182,0.0,-0.011493
4.0,广交会春季,4月,T,基础化工,11,1,10,0,0.090909,0.909091,0.0,-0.009085
4.0,广交会春季,4月,T,建材,11,1,10,0,0.090909,0.909091,0.0,-0.010946
4.0,广交会春季,4月,T,建筑,11,3,8,0,0.272727,0.727273,0.0,-0.001317
4.0,广交会春季,4月,T,房地产,11,2,9,0,0.181818,0.818182,0.0,-0.01078
4.0,广交会春季,4月,T,有色金属,11,2,9,0,0.181818,0.818182,0.0,-0.00671
4.0,广交会春季,4月,T,机械,11,1,10,0,0.090909,0.909091,0.0,-0.006904
4.0,广交会春季,4月,T,汽车,11,3,8,0,0.272727,0.727273,0.0,-0.00629
4.0,广交会春季,4月,T,消费者服务,11,3,8,0,0.272727,0.727273,0.0,-0.010677
4.0,广交会春季,4月,T,电子,11,2,9,0,0.181818,0.818182,0.0,-0.008562
4.0,广交会春季,4月,T,综合,11,3,8,0,0.272727,0.727273,0.0,-0.011425
4.0,广交会春季,4月,T,计算机,11,1,10,0,0.090909,0.909091,0.0,-0.01095
4.0,广交会春季,4月,T,轻工制造,11,3,8,0,0.272727,0.727273,0.0,-0.010592
