下一次月份,meeting_family,下一次召开_具体日期,window,industry,届数,上涨次数,下跌次数,持平次数,上涨概率,下跌概率,持平概率,平均涨跌幅
3,两会,3月5日,T-1,建材,10,2,8,0,0.2,0.8,0.0,-0.012144
3,两会,3月5日,T-1,建筑,10,1,9,0,0.1,0.9,0.0,-0.009733
3,中国发展高层论坛,3月19日,T,有色金属,8,6,2,0,0.75,0.25,0.0,0.004304
3,中国发展高层论坛,3月19日,T+1,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.009059
3,中国发展高层论坛,3月19日,T+1,建材,8,2,6,0,0.25,0.75,0.0,0.000316
3,中国发展高层论坛,3月19日,T+1,电力设备及新能源,8,6,2,0,0.75,0.25,0.0,0.00027
3,中国发展高层论坛,3月19日,T+1,计算机,8,3,5,0,0.375,0.625,0.0,0.010501
3,中国发展高层论坛,3月19日,T+1,食品饮料,8,6,2,0,0.75,0.25,0.0,0.008947
3,中国发展高层论坛,3月19日,T+5,农林牧渔,8,6,2,0,0.75,0.25,0.0,0.020617
3,中国发展高层论坛,3月19日,T+5,医药,8,6,2,0,0.75,0.25,0.0,0.019425
3,中国发展高层论坛,3月19日,T+5,商贸零售,8,6,2,0,0.75,0.25,0.0,0.014994
3,中国发展高层论坛,3月19日,T+5,家电,8,5,3,0,0.625,0.375,0.0,0.009477
3,中国发展高层论坛,3月19日,T+5,建材,8,6,2,0,0.75,0.25,0.0,0.012367
3,中国发展高层论坛,3月19日,T+5,机械,8,6,2,0,0.75,0.25,0.0,0.016384
3,中国发展高层论坛,3月19日,T+5,汽车,8,5,3,0,0.625,0.375,0.0,0.008251
3,中国发展高层论坛,3月19日,T+5,消费者服务,8,6,2,0,0.75,0.25,0.0,0.010212
3,中国发展高层论坛,3月19日,T+5,煤炭,8,6,2,0,0.75,0.25,0.0,0.019332
3,中国发展高层论坛,3月19日,T+5,轻工制造,8,7,1,0,0.875,0.125,0.0,0.011625
3,中国发展高层论坛,3月19日,T-1,有色金属,8,3,5,0,0.375,0.625,0.0,-0.002559
3,中国发展高层论坛,3月19日,T-1,银行,8,3,5,0,0.375,0.625,0.0,-0.003149
3,中国发展高层论坛,3月19日,T-5,交通运输,8,6,2,0,0.75,0.25,0.0,0.010648
3,中国发展高层论坛,3月19日,T-5,传媒,8,6,2,0,0.75,0.25,0.0,0.009261
3,中国发展高层论坛,3月19日,T-5,商贸零售,8,7,1,0,0.875,0.125,0.0,0.011797
3,中国发展高层论坛,3月19日,T-5,机械,8,6,2,0,0.75,0.25,0.0,0.004582
3,中国发展高层论坛,3月19日,T-5,汽车,8,5,3,0,0.625,0.375,0.0,0.001252
3,中国发展高层论坛,3月19日,T-5,电子,8,5,3,0,0.625,0.375,0.0,0.001189
3,中国发展高层论坛,3月19日,T-5,纺织服装,8,6,2,0,0.75,0.25,0.0,0.010784
3,中国发展高层论坛,3月19日,T-5,综合,8,6,2,0,0.75,0.25,0.0,0.010541
3,中国发展高层论坛,3月19日,T-5,轻工制造,8,6,2,0,0.75,0.25,0.0,0.007224
3,中国发展高层论坛,3月19日,T-5,通信,8,6,2,0,0.75,0.25,0.0,0.004109
3,中国发展高层论坛,3月19日,T-5,食品饮料,8,6,2,0,0.75,0.25,0.0,0.005021
