industry,window,meeting_family,up_count,down_count,total,up_rate,down_rate,bias_from_50,direction,涉及的T日,窗口开始,窗口结束,平均涨跌幅_收盘,最大涨跌幅_收盘,最小涨跌幅_收盘,平均涨跌幅_开盘,最大涨跌幅_开盘,最小涨跌幅_开盘,最近一届时间,下一次预计召开时间,预测备注,下一次月份
建材,T-1,两会,3,10,13,0.2307692308,0.7692307692,0.2692307692,mostly_down,2013-03-05; 2014-03-05; 2015-03-05; 2016-03-05; 2017-03-05; 2018-03-05; 2019-03-05; 2020-05-22; 2021-03-05; 2022-03-05; 2023-03-05; 2024-03-05; 2025-03-05,2013-03-04; 2014-03-04; 2015-03-04; 2016-03-04; 2017-03-03; 2018-03-02; 2019-03-04; 2020-05-21; 2021-03-04; 2022-03-04; 2023-03-03; 2024-03-04; 2025-03-04,2013-03-04; 2014-03-04; 2015-03-04; 2016-03-04; 2017-03-03; 2018-03-02; 2019-03-04; 2020-05-21; 2021-03-04; 2022-03-04; 2023-03-03; 2024-03-04; 2025-03-04,,,,,,,2025-03-05 至 2025-03-15,2027年3月,每年3月，人大一般3月5日开幕,3.0
建筑,T-1,两会,3,10,13,0.2307692308,0.7692307692,0.2692307692,mostly_down,2013-03-05; 2014-03-05; 2015-03-05; 2016-03-05; 2017-03-05; 2018-03-05; 2019-03-05; 2020-05-22; 2021-03-05; 2022-03-05; 2023-03-05; 2024-03-05; 2025-03-05,2013-03-04; 2014-03-04; 2015-03-04; 2016-03-04; 2017-03-03; 2018-03-02; 2019-03-04; 2020-05-21; 2021-03-04; 2022-03-04; 2023-03-03; 2024-03-04; 2025-03-04,2013-03-04; 2014-03-04; 2015-03-04; 2016-03-04; 2017-03-03; 2018-03-02; 2019-03-04; 2020-05-21; 2021-03-04; 2022-03-04; 2023-03-03; 2024-03-04; 2025-03-04,,,,,,,2025-03-05 至 2025-03-15,2027年3月,每年3月，人大一般3月5日开幕,3.0
有色金属,T,中国发展高层论坛,8,3,11,0.7272727273,0.2727272727,0.2272727273,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-23; 2016-03-21; 2017-03-20; 2018-03-26; 2019-03-25; 2020-03-23; 2021-03-22; 2022-03-18; 2023-03-27; 2024-03-25; 2025-03-24,2015-03-23; 2016-03-21; 2017-03-20; 2018-03-26; 2019-03-25; 2020-03-23; 2021-03-22; 2022-03-18; 2023-03-27; 2024-03-25; 2025-03-24,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
农林牧渔,T+1,中国发展高层论坛,9,2,11,0.8181818182,0.1818181818,0.3181818182,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
建材,T+1,中国发展高层论坛,3,8,11,0.2727272727,0.7272727273,0.2272727273,mostly_down,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
电力设备及新能源,T+1,中国发展高层论坛,8,3,11,0.7272727273,0.2727272727,0.2272727273,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
计算机,T+1,中国发展高层论坛,3,8,11,0.2727272727,0.7272727273,0.2272727273,mostly_down,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
食品饮料,T+1,中国发展高层论坛,8,3,11,0.7272727273,0.2727272727,0.2272727273,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
农林牧渔,T+5,中国发展高层论坛,8,3,11,0.7272727273,0.2727272727,0.2272727273,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-30; 2016-03-28; 2017-03-27; 2018-04-02; 2019-04-01; 2020-03-30; 2021-03-29; 2022-03-25; 2023-04-03; 2024-04-01; 2025-03-31,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
医药,T+5,中国发展高层论坛,8,3,11,0.7272727273,0.2727272727,0.2272727273,mostly_up,2015-03-21; 2016-03-19; 2017-03-18; 2018-03-24; 2019-03-23; 2020-03-22; 2021-03-20; 2022-03-18; 2023-03-25; 2024-03-24; 2025-03-23,2015-03-24; 2016-03-22; 2017-03-21; 2018-03-27; 2019-03-26; 2020-03-24; 2021-03-23; 2022-03-21; 2023-03-28; 2024-03-26; 2025-03-25,2015-03-30; 2016-03-28; 2017-03-27; 2018-04-02; 2019-04-01; 2020-03-30; 2021-03-29; 2022-03-25; 2023-04-03; 2024-04-01; 2025-03-31,,,,,,,2025-03-23 至 2025-03-24,2026年3月,每年3月北京,3.0
